NOMBREDD,P401_1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,NA
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,NA
TUMBES,NA
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,NA
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,2
TUMBES,1
TUMBES,1
TUMBES,2
TUMBES,2
TUMBES,2
